Name of PE's,Paid up Capital,Advance Share Investment,Reserve Fund,Cumulative Profit/ Loss,Medium and longterm loan/Non current liabilities,Short term loan/ Deposit,Current and other liabilities and Provision,Grand Total,Net Fixed Assets,Investment,Loan Investment,Cash and Bank Balance,Current Assets,Other Assets,Grand Total
Industrial Sector,,,,,,,,,,,,,,,
Dairy Development Corporation,7,301,-,-,-5498,-,-,13478,15282,3663,348,-,4772,6353,146,15282
Herbs Production and Processing Company Ltd.,275,-,-,3052,493,-,1589,5409,311,3500,-,762,837,-,5409
Hetauda Cement Industry Ltd.,9,007,-,,-6818,12703,-,6929,21822,2912,8719,-,2194,5607,2389,21822
Janakpur Cigarette Factory Ltd.,408,-,545,-29091,28515,-,1842,2219,269,505,-,341,1105,-,2219
Nepal Aushadhi Ltd.,755,-,309,-14319,10109,-,4455,1310,245,13,-,-,-,1052,1310
Udayapur Cement Industries Ltd.,36,481,-,,-43219,17250,-,22538,33050,19663,1794,-,496,11097,-,33050
Nepal Orind Magnesite Pvt. Ltd.,4,500,-,,-44272,15838,517,28526,5109,3139,,-,1,1198,771,5109
Total,58,727,-,854,-140164,84909,517,79358,84200,30202,14879,-,8566,26197,4357,84200
Trading Sector,,,,,,,,,,,,,,,-
Agriculture Inputs Company Ltd.,4,264,-,5662,4889,-,-,17772,32587,8126,4763,-,2171,17527,-,32587
National Seeds Company Ltd.,1,185,-,-,1277,-,-,2226,4688,1257,729,-,1119,1469,114,4688
National Trading Ltd.,1,693,-,783,-287,10320,-,5085,17593,71,-19,-,9487,8054,-,17593
Nepal Food Corporation,9,904,-,1609,-12574,-,589,20269,19797,2665,97,-,3513,13522,-,19797
Nepal Oil Corporation Ltd.,2,924,-,-,108884,-,-,199087,310895,62146,178,-,136839,111393,339,310895
The Timber Corporation of Nepal Ltd.,161,-,1724,867,-,-,9612,12364,1991,-,-,3162,7211,,12364
Total,20,131,-,9778,103056,10320,589,254051,397925,76256,5748,-,156291,159177,454,397925
Service Sector,,,,,,,,,,,,,,,
Industrial Districts Management Ltd.,1,308,6932,133,2353,-,,4065,14791,2155,2643,-,7025,2835,133,14791
National Construction Company Nepal Ltd.,,-,-,-,-,-,-,-,,-,-,-,-,-,-
Nepal Transit and Warehousing Company Ltd.,122,-,615,2000,1201,,603,4541,97,567,-,3288,,589,4541
Nepal Engineering Consultancy Service Center
Ltd.,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Napal Airlines Corporation,1,623,-,74753,-22645,236555,,56183,346468,203417,62,,12870,46678,83441,346468
National Productivity & Eco. Dev. Center Ltd.,79,-,-,-291,,-,541,330,2,117,-,138,72,-,330
Civil Aviation Authority of Nepal,254897,-,54599,96051,41786,-,68258,515591,148289,-,-,221546,78330,67427,515591
Total,258030,6932,130100,77468,279542,-,129649,881721,353960,3388,-,244867,127916,151590,881721
Cultural CB5:Q29orporation,132,-,8,-1476,-,-,3368,2032,1789,-,-,20,223,-,2032
Gorkhapatra Corporation,115,-,968,2710,888,-,1503,6184,846,-,-,1655,3684,-,6184
Janak Education Material Centre Ltd.,4500,410,85,-20775,15742,-,8896,8858,2381,2,-,431,6045,-,8858
Nepal Television,28589,-,-,-12863,-,-,5411,21137,3697,-,-,10832,6608,-,21137
Rastriya Aawas Company Ltd.,520,-,25082,-148,-,-,358,25812,2160,63,-,450,23130,9,25812
Total,33857,410,26143,-32553,16630,-,19536,64024,10872,65,-,13387,39691,9,64024
Public Utility Sector,,,,,,,,,,,,,,,-
Nepal Water Supply Corporation,3476,-,6029,-12036,37365,15126,,49960,24560,-,-,15544,7616,2240,49960
Nepal Electricity Authority,825127,-,17983,-281231,1106041,-,781459,2449378,903404,258454,-,248238,235786,803497,2449378
Nepal Doorsanchar Company Ltd.,150000,-,224360,538949,151604,-,151155,1216068,373071,100796,-,242552,394859,104790,1216068
Vidhyut Utpadan Company Ltd.,16900,-,-,-323,-,-,265,16842,66,451,-,-,-,16325,16842
Rastriya Prasaran Grid Company Ltd.,9900,-,-,46,1,21,-,9967,58,51,-,9078,780,-,9967
Total,1005403,-,248371,245405,1295012,15146,932879,3742216,1301160,359751,-,515412,639041,926852,3742216
Financial Sector,,,,,,,,,,,,,,,-
Agricultural Development Bank Ltd.,139379,-,75109,3479,9200,1004842,36657,1268666,11118,158988,882065,136227,19919,60349,1268666
Rastriya Beema Corporation,93,-,117215,3217,-,-,17806,138331,379,48298,-,7262,69199,13192,138331
Rastriya Beema Company Ltd.,1244,-,10768,19374,-,-,11131,42517,563,8347,-,5737,27871,-,42517
NIDC Development Bank Ltd.,4158,-,11026,21584,-,11543,3097,51409,1071,1195,30026,1151,16499,1466,51409
Rastriya Banijya Bank Ltd.,85890,-,38805,-19855,5925,1535810,88873,1735448,6924,382765,1021616,190052,15914,118178,1735448
Deposit and Credit Guarantee Fund,30000,-,30361,8,-,-,7527,67896,105,50213,-,11695,5869,14,67896
Nepal Stock Exchange Ltd.,3000,-,20928,7714,428,-,7705,39776,1231,17526,-,3347,17229,444,39776
Citizen Investment Trust,7403,-,4372,3986,,969025,86982,1071768,8130,754830,-,25698,283109,-,1071768
Jalvidhyut Lagani Tatha Bikas Company Ltd.,100000,-,4580,5320,2639,1336,-,113875,111,3355,10265,99241,877,25,113875
Nepal Bank Ltd.,80427,-,54427,-20336,-,939565,66489,1120571,4751,121813,717459,167832,20900,87816,1120571
Total,451594,-,367591,24492,18192,4462121,326267,5650258,34383,1547330,2661432,648243,477384,281485,5650258
