Name of the Public EnterpriseBoard, Members
Dairy Development Corporation,8
Hetauda Cement Industries Ltd.,8
Udayapur Cement Industry Ltd.,11
Nepal Orind Magnesite Pvt. Ltd.,6
Nepal Food Corporation,9
Nepal Oil Corporation Ltd.,8
The Timber Corporation of Nepal Ltd.,7
Nepal Transit and Warehousing Company Ltd,7
Napal Airlines Corporation,7
Civil Aviation Authority of Nepa,l8
Janak Education Materials Centre Ltd.,6
Rastriya Aawas Company Ltd.,7
Nepal Drinking Water Corporation,22
Nepal Electricity Authority,7
Nepal Dursanchar Company Ltd.,6
Rastriya Prasaran Grid Company Ltd.,9
Agricultural Development Bank Ltd.,8
Rastriya Beema Corporation,7
Rastriya Beema Company Ltd.,6
Nepal Stock Exchange Ltd.,7
Citizen Investment Trust,9
Employee's Provident Fund,7
Jalvidhyut Lagani Tatha Bikas Company Ltd.,7
Nepal Bank Ltd.,6
