Name of the PEs,Share Investment (Rs. in Lakh),,,
,Government,Corporation,Private Sector,Total
Industrial Sector,,,,
Dairy Development Corporation,3664,-,-,3664
Herbs Production and Processing Company Ltd.,241,34,-,275
Hetauda Cement Industry Ltd.,9007,-,-,9007
Janakpur Cigarette Factory Ltd.,800,-,-,800
Nepal Aushadhi Ltd.,747,7,-,754
Udayapur Cement Industries Ltd.,36481,-,-,36481
Nepal Orind Magnesite Pvt. Ltd.,3750,-,750,4500
Total,54690,41,750,55481
Trading Sector,,,,
Agriculture Inputs Company Ltd.,4143,120,-,4263
National Seeds Company Ltd.,1185,-,-,1185
National Trading Ltd.,1693,-,-,1693
Nepal Food Corporation,9904,-,-,9904
Nepal Oil Corporation Ltd.,2908,16,-,2924
The Timber Corporation of Nepal Ltd.,154,6,-,160
Total,19987,142,0,20129
Service Sector,,,,
Industrial Districts Management Ltd.,8151,94,-,8245
National Construction Company Nepal Ltd.,0,-,-,-
Nepal Transit and Warehousing Company Ltd.,122,-,-,122
Nepal Engineering Consultancy Service Center Ltd.,0,-,-,-
Napal Airlines Corporation,1623,-,-,1623
National Productivity & Eco. Dev. Center Ltd.,19,57,3,79
Civil Aviation Authority of Nepal,254897,-,-,254897
Total,264812,151,3,264966
Social Sector,,,,
Cultural Corporation,132,-,-,132
Gorkhapatra Corporation,115,-,-,115
Janak Education Material Centre Ltd.,4500,-,-,4500
Nepal Television,28589,-,-,28589
Rastriya Aawas Company Ltd.,520,-,-,520
Total,33856,-,-,33856
Public Utility Sector,,,,
Nepal Water Supply Corporation,3476,-,-,3476
Nepal Electricity Authority,825127,-,-,825127
Nepal Doorsanchar Company Ltd.,137240,50,12710,150000
Vidhyut Utpadan Company Ltd.,9900,7000,-,16900
Rastriya Prasaran Grid Company Ltd.,9900,-,-,9900
Total,985643,7050,12710,1005403
Financial Sector,,,,
Agricultural Development Bank Ltd.,90474,-,34730,125204
Rastriya Beema Corporation,26,67,-,93
Rastriya Beema Company Ltd.,591,410,-,1001
NIDC Development Bank Ltd.,4128,-,31,4159
Rastriya Banijya Bank Ltd.,85890,-,-,85890
Deposit and Credit Guarantee Fund,28000,2000,-,30000
Nepal Stock Exchange Ltd.,1760,1222,18,3000
Citizen Investment Trust,740,3701,2961,7402
Jalvidhyut Lagani Tatha Bikas Company Ltd.,50000,30000,20000,100000
Nepal Bank Ltd.,50037,-,30390,80427
Total,311646,37400,88130,437176
Grand total,1670634,44784,101593,1817011
