Name of the Public Enterprise,Last fiscal year of the Audit Completion
Industrial Sector,
Dairy Development Corporation,2015/16
Herbs Production and Processing Company Ltd.,2012/13
Hetauda Cement Industry Ltd.,2015/16
Janakpur Cigarette Factory Ltd.,2016/17
Nepal Aushadhi Ltd.,2014/15
Udayapur Cement Industries Ltd.,2014/15
Nepal Orind Magnesite Pvt. Ltd.,2007/08
Trading Sector,
Agriculture Inputs Company Ltd.,2016/17
National Seeds Company Ltd.,2016/17
National Trading Ltd.,2015/16
Nepal Food Corporation,2009/10
Nepal Oil Corporation Ltd.,2016/17
The Timber Corporation of Nepal Ltd.,2016/17
Service Sector,
Industrial Districts Management Ltd.,2016/17
National Construction Company Nepal Ltd.,-
Nepal Transit and Warehousing Company Ltd.,2016/17
Nepal Engineering Consultancy Service Center Ltd.,-
Napal Airlines Corporation,2015/16
National Productivity & Eco. Dev. Center Ltd.,2007/08
Civil Aviation Authority of Nepal,2014/15
Social Sector,
Cultural Corporation,2016/17
Gorkhapatra Corporation,2013/114
Janak Education Material Centre Ltd.,2015/16
Nepal Television,2015/16
Rastriya Aawas Company Ltd.,2015/16
Public Utility Sector,
Nepal Water Supply Corporation,-
Nepal Electricity Authority,2015/16
Nepal Doorsanchar Company Ltd.,2016/17
Vidhyut Utpadan Company Ltd.,2016/17
Rastriya Prasaran Grid Company Ltd.,2016/17
Financial Sector,
Agricultural Development Bank Ltd.,2016/17
Rastriya Beema Corporation,2011/12
Rastriya Beema Company Ltd.,2008/09
NIDC Development Bank Ltd.,2016/17
Rastriya Banijya Bank Ltd.,2016/17
Deposit and Credit Guarantee Fund,2016/17
Nepal Stock Exchange Ltd.,2016/17
Citizen Investment Trust,2015/16
Jalvidhyut Lagani Tatha Bikas Company Ltd.,2016/17
Nepal Bank Ltd.,2016/17
