Name of the Public Enterprise,Unfunded Liability,Contingent Liability,Total
Industrial Sector,,,
Dairy Development Corporation,10954,,10954
Herbs Production and Processing Company Ltd.,1023,-,1023
Hetauda Cement Industry Ltd.,3008,500,3508
Janakpur Cigarette Factory Ltd.,2307,-,2307
Nepal Aushadhi Ltd.,25,-,25
Udayapur Cement Industries Ltd.,6250,-,6250
Nepal Orind Magnesite Pvt. Ltd.,-,4000,
Total,23567,4500,28067
Trading Sector,,,
Agriculture Inputs Company Ltd.,-,-,-
National Seeds Company Ltd.,-,-,-
National Trading Ltd.,-,-,-
Nepal Food Corporation,4400,-,4400
Nepal Oil Corporation Ltd.,-,242,242
The Timber Corporation of Nepal Ltd.,-,-,-
Total,4400,242,4642
Service Sector,,,
Industrial Districts Management Ltd.,-,-,-
National Construction Company Nepal Ltd.,-,-,-
Nepal Transit and Warehousing Company Ltd.,147,50,197
Nepal Engineering Consultancy Service Center Ltd.,-,-,-
Napal Airlines Corporation,9086,500,9586
National Productivity & Eco. Dev. Center Ltd.,,,-
Civil Aviation Authority of Nepal,-,16311,16311
Total,9233,16861,26094
Social Sector,,,
Cultural Corporation,310,,310
Gorkhapatra Corporation,6500,,6500
Janak Education Material Centre Ltd.,5019,,5019
Nepal Television,1799,,1799
Rastriya Aawas Company Ltd.,-,-,-
Total,13628,-,13628
Public Utility Sector,,,
Nepal Water Supply Corporation,5532,,5532
Nepal Electricity Authority,234228,1633,235861
Nepal Doorsanchar Company Ltd.,91802,,91802
Vidhyut Utpadan Company Ltd.,,,
Rastriya Prasaran Grid Company Ltd.,,,
Total,331562,1633,333195
Financial Sector,,,
Agricultural Development Bank Ltd.,-,252498,252498
Rastriya Beema Corporation,-,-,-
Rastriya Beema Company Ltd.,,,-
NIDC Development Bank Ltd.,-,146,146
Rastriya Banijya Bank Ltd.,-,87278,87278
Deposit and Credit Guarantee Fund,231,3877250,3877481
Nepal Stock Exchange Ltd.,61,,61
Citizen Investment Trust,-,-,-
Jalvidhyut Lagani Tatha Bikas Company Ltd.,-,-,-
Nepal Bank Ltd.,2995,69515,72510
Total,3286,4286687,4289973
Grand total,385677,4309923,4695600
Rs in lakhs,,,
