0,Rs. in Million,0,0,Percent Change,0
0,2015 2016 2017,0,0,2015/16 2016/17,0
Nepal Rastra Bank,703060.9,887010.8,927266.4,26.2,4.5
Convertible,517456.7,672458.2,683870.4,30,1.7
Inconvertible,185604.2,214552.6,243396,15.6,13.4
Commercial Banks,120995.1,152199.8,152255.6,25.8,0
Convertible,114843.4,144005.6,144507.4,25.4,0.3
Inconvertible,6151.7,8194.2,7,748,2,33.2,-5.4
Total Reserve,824056,1039210.6,1079521.9,26.1,3.9
Convertible,632300.1,816463.8,828377.8,29.1,1.5
Inconvertible,191756,222746.9,251144.2,16.2,12.7
 -,US dollars in Million, -, -, -,-
Nepal Rastra Bank,6951.4,8310.8,9014.8,19.6,8.5
Convertible,5116.2,6300.6,6648.6,23.1,5.5
Inconvertible,1835.1,2010.2,2366.3,9.5,17.7
Commercial Banks,1196.3,1426,1480.2,19.2,3.8
Convertible,1135.5,1349.3,1404.9,18.8,4.1
Inconvertible,60.8,76.8,75.3,26.2,-1.9
Total Reserve,8147.7,9736.8,10495.1,19.5,7.8
Convertible,6251.7,7649.8,8053.4,22.4,5.3
Inconvertible,1895.9,2087,2441.6,10.1,17
