 -,For the Year Ended 2074,For the Year Ended 2075,For the Year Ended 2073,For the Year Ended 2074
 -,Strengthening,Weakening,Strengthening,Weakening
USD,53289111832,-53289111832,52208607114,-52208607114
AUD,3637339424,-3637339424,3666107441,-3666107441
EUR,-17561836,17561836,1287504405,-1287504405
GBP,2752833166,-2752833166,2677647722,-2677647722
CNY,9193981050,-9193981050,8592702359,-8592702359
CAD,774791282,-774791282,771981463,-771981463
SDR,-1220657817,1220657817,-1048777137,1048777137
Total,68409837100,-68409837100,68155773367,-68155773367
