Banks and Remittance Companies,Addrsss
Citizens Bank International Limited,Kamaladi Kathmandu
NMB Bank Limited,Babarmahal Kathmandu
Nabil Bank Limited,Durbarmarg Kathmandu
Machhapuchchhre Bank Limited,Lazimpat Kathmandu
Prabhu Bank Limited,Babarmahal Kathmandu
Sunrise Bank Limited,Gairhidhara Kathmandu
Siddhartha Bank Limited,Hattisar Kathmandu
Sanima Bank Limited,Naxal Kathmandu
Century Commercial Bank Limited,Putalisadak Kathmandu
Prabhu Money Transfer Pvt. Ltd.,Lainchour Kathmandu
City Express Money Transfer,Ghantaghar Kathmandu
IME Limited,Panipokhari Kathmandu
Sewa Remit Pvt. Ltd.,Kuleshwor Kathmandu
