Particulars,No. of Listed Companies,No. of Listed Companies,No. of Listed Companies,Market Capitalization (Rs. In Million),Market Capitalization (Rs. In Million),Market Capitalization (Rs. In Million),Market Capitalization (Rs. In Million),Market Capitalization (Rs. In Million),Market Capitalization (Rs. In Million),Share Price,Share Price
 -,Mid-July 2015,Mid-July 2016,Mid-July 2017,Mid-July 2015,Mid-July 2016,Mid-July 2016,Mid-July 2017,Mid-July 2017, -,Percent Change,Percent Change,
 -,-,-,-,Price,Share %,Price,Share %,Price,Share %,2015/16,2016/17
Financial Institutions,198,193,165,769057,77.7, -,158144383.7,1586082,85.42,105.6,0.3
Commercial Banks,29,29,27,496242,50.8,995160,52.7,979490,52.75,100.5,-1.6
Development Banks,96,95,80,96920,9.8,233121,12.3,258428,13.92,140.5,10.9
Finance Companies,51,47,36,42218,4.5,68427,3.6,52361,2.82,62.1,-23.5
Insurance Companies,22,22,22,133677,13.1,284735,15.1,295802,15.93,113,3.9
Construction and Processing Companies,18,18,18,29681,2.7,45803,2.4,41990,2.26,54.3,-8.3
Hotels,4,4,4,24856,2.7,26812,1.4,29356,1.58,7.9,9.5
Trading Organizations,4,4,4,1178,0.1,1180,0.1,1238,0.07,0.2,4.9
Hydropower Companies,6,8,14,69212,7,88226,4.7,77197,4.16,27.5,-12.5
Others,2,3,3,95420,9.3,146667,7.8,120967,6.51,53.7,-17.5
Total,232,230,208,989404,99.6,1890130,100,1856829,100,91,-1.8
