Description,Percent Change,Percent Change,Percent Change
 ---,2014/15,2015/16,2016/17
Producers' Prices:, ---, ---, ---
GDP at constant (2000/01) prices,3.3,0.4,7.5
GDP at current prices,8.4,5.5,15.7
Basic Prices:, ---, ---, ---
GDP at constant (2000/01) prices,3,0.01,6.9
GDP at current prices,8,4.7,15.4
GNI at Current Prices,8.4,5.4,15.1
Total Consumption,11.8,11.8,7.9
Gross Domestic Saving,-16.3,-56.2,210.2
Gross National Saving,4.7,-4.5,26.7
Total Investment,2.9,-8.9,45.8
Gross Fixed Capital Formation,29,8.6,35.7
Gross National Disposable Income,9.3,6.4,13.4
Money Supply (M1),19.7,18.5,13.1
Broad Money Supply (M2),19.9,19.5,15.5
Domestic Credit,16.2,18.2,19.4
Fixed Deposits,15.1,21.6,58.8
Total Exports,-7.3,-17.8,4.2
Total Imports,8.4,-0.1,28
Gross Foreign Exchange Reserve,26.1,26.1,3.9
Government Revenue,13.8,18.8,26.4
Government Expenditure*,22,14.2,36.5
National Consumer Price Index,7.2,9.9,4.5
Wholesale Price Index,6.1,6.3,2.7
Total Consumption,90.8,96.2,89.7
Gross Domestic Saving,9.2,3.8,10.3
Gross National Saving,44.1,40,43.8
Total Investment,39.1,33.7,42.5
Gross Fixed Capital Formation,28,28.8,33.8
Gross National Disposable Income,134.9,136.1,133.5
Money Supply (M1),19.9,22.4,21.9
Broad Money Supply (M2),88.2,99.8,99.7
Domestic Credit,71.7,80.3,83
Fixed Deposits,23.6,27.1,37.3
Total Exports,4,3.1,2.8
Total Imports,36.4,34.4,38.1
Foreign Exchange Reserve,38.7,46.2,41.5
Government Revenue,19.1,21.5,23.4
Government Expenditure*,23.9,25.9,30.5
Government Budget Surplus/Deficit*,-2.2,-2.2,-4.8
Domestic Borrowings,2,3.9,3.4
Trade Balance (-Deficit),-32.4,-31.3,-35.3
Current Account Balance (-Deficit),5.1,6.2,-0.04
Total Outstanding External Debt,16.1,17,15.8
 
