Microfinance Institutions
Nirdhan Utthan Bank Ltd.
Diprox Laghubitta Bikas Bank Ltd.
Chhimek Laghubitta Bikas Bank Ltd.
Swawalamban Laghubitta Bikas Bank Ltd.
Nerude Laghubitta Bikas Bank Ltd.
Naya Nepal Laghubitta Bikas Bank Ltd.
Mithila Laghubitta Bikas Bank Ltd.
Summit Microfinance Development Bank Ltd.
Swarojgar Laghubitta Bikas Bank Ltd.
Nagbeli Laghubitta Bikas Bank Ltd.
Kalika Microcredit Development Bank Ltd.
Mirmire Microfinance Bank Ltd.
Jana Utthan Samudayik Laghubitta Bikas Bank Ltd.
Womi Microfinance Bittiya Sanstha Ltd.
Laxmi Laghubitta Bittiya Sanstha Ltd.
Civil Laghubitta Bittiya Sanstha Ltd.
Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.
Kisan Microfinance Bittiya Sanstha Ltd.
Vijaya Labhubitta Bittiya Sanstha Ltd.
NMB Microfinance Bittiya Sanstha Ltd.
Forward Community Microfinance Bittiya Sanstha Ltd.
Reliable Microfinance Bittiya Sanstha Ltd.
Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.
Suryodaya Laghubitta Bittiya Sanstha Ltd.
Mero Microfinance Bittiya Sanstha Ltd.
Samata Microfinance Bittiya Sanstha Ltd.
Samudayik Laghubitta Bittiya Sanstha Ltd.
National Microfinance Bittiya Sanstha Ltd.
Nepal Grameen Bikas Bank Ltd.
Nepal Sewa Laghubitta Bittiya Sanstha Ltd.
Unnati Microfinance Bittiya Sanstha Ltd.
Swadeshi Laghubitta Bittiya Sanstha Litd.
Nadepa Laghubitta Bittiya Sanstha Ltd.
Support Microfinance Bittiya Sanstha Ltd.
Arambha Microfinance Bittiya Sanstha Ltd.
Janasewi Laghubitta Bittiya Sanstha Ltd.
Chautari Laghubitta Bittiya Sanstha Ltd.
Ghodaghodi Laghubitta Bittiya Sanstha Ltd.
Asha Laghubitta Bittiya Sanstha Ltd.
Nepal Agro Laghubitta Bittiya Sanstha Ltd.
Ramaroshan Laghubitta Bittiya Sanstha Ltd.
Creative Laghubitta Bittiya Sanstha Ltd.
Gurans Laghubitta Bittiya Sanstha Ltd.
Ganapati Laghubitta Bittiya Sanstha Ltd.
Infinity Microfinance Bittiya Sanstha Ltd.
Andhikhola Laghubitta Bittiya Sanstha Ltd.
Swabhiman Microfinance Bittiya Sanstha Ltd.
Sparsha Laghubitta Bittiya Sanstha Ltd.
Sabaiko Labhugitta Bittiya Sanstha Ltd.
