Groups/Sub-Groups,Weight %,2014/15,2015/16,2016/17,Percent Change 2015/16,Percent Change  2016/17
1.   Overall Index,100,296.6,315.3,323.6,6.3,2.7
1.1  Agricultural Commodities,49.6,338.7,374.2,386.1,10.5,3.2
1.2  Domestic Manufactured Commodities,20.4,251.8,267.5,280.3,6.2,4.8
1.3  Imported Commodities,30,257.7,250.3,249.9,-2.9,-0.2
Petroleum Products & Coal ,5.4,522.3,448.3,418.6,-14.2,-6.6
Chemical Fertilizers & Chemical Goods ,2.5,246.5,251.7,249,2.1,-1.1
Transport Vehicles & Machinery Goods ,7,190.8,202.4,225.2,6.1,11.2
Electric & Electronic Goods ,1.9,124.3,125.1,126.6,0.6,1.2
Drugs & Medicine ,2.7,154.1,154.1,140.7,-0.1,-8.7
Textile-related Products ,3.1,187.4,194.3,195.9,3.7,0.8
Others,7.4,233,241,244.4,3.4,1.4
Foodgrains  ,16.6,266.9,273.1,281.1,2.3,2.9
Cash Crops  ,6.1,393,411.1,423.3,4.6,3
Pulses  ,3.8,343.5,477.7,501.6,39.1,5
Fruits & Vegetables ,11.2,321.8,376.6,362.5,17,-3.7
Spices  ,1.9,307.2,375.4,419.7,22.2,11.8
Livestock Production,10,447.5,477.4,513.7,6.7,7.6
Food-related Products ,6.1,235.5,243.3,255.8,3.3,5.1
Beverages & Tobacco  ,5.7,284.3,312.6,335,9.9,7.2
Construction Materials ,4.5,288.6,296.2,292.9,2.7,-1.1
Others,4.1,189.8,208.9,226.6,10.1,8.5
