Banks and Financial Institutions,2015,2016,2017
Commercial Banks,30,28,28
Development Banks,76,67,40
Finance Companies,48,42,28
Microfinance Development Banks,39,42,53
"Cooperatives Licensed by the NRB 
(performing limited banking transactions)",15,15,14
"NGOs Licensed by the NRB (performing 
limited banking transactions)",27,25,25
"Institutions Licensed by NRB to conduct 
banking transactions",235,219,188
Other Insitutions1,8,8,8
Insurance Companies,26,26,28
Employees Provident Fund,1,1,1
Citizen Investment Trust,1,1,1
Postal Saving Bank,1,1,1
Total,272,256,229
