Subject,"No. of Participants",Host Institution,Place
"SEACEN-FSI Regional Seminar on Problem Bank Supervision and Early Intervention",4,SEACEN,Singapore
"Operational &Technological Risk Management & Supervision",3,SEACEN,Kuala Lumpur Malaysia
"The GSMA Mobile & 360 Africa & Mobile Money Leadership Forum",2,360 Africa,Tanzania
"18th Conference of Directors of Supervision of  Asia Pacific Economies &29th Meeting of SEACEN Directors of Supervision",1,SEACEN,Kuala Lumpur Malaysia
"SEACEN/BOJ 2016 Symposium on Achieving Accurate  Bank/Financial Reporting  during the Periods of Rising Credit Risk",2,SEACEN,KualaLumpur Malaysia
Executive Interaction Programme,1,BIS,Basel Switzerland
2016 Seminar on Anti-Money Laundering for Nepal,2,APG,China
High Level Seminar for Directors of Research & Training,2,SEACEN,Papua New Guinea
"Database Management for Cooperatives & Rural Financing Institution",3,CICTAB,Pune India
"15th SEACEN Advanced Course on Payment & Settlement System : Strengthening Resilience of P Payment  System to Cybercrimes",4,SEACEN,Kuala Lumpur Malaysia
"Co-operatives Governance for Board of Directors of Rural Financing Institution and Co-operatives",2,CICTAB,Sri Lanka
Human Capital Management & Talent Development,2,BNM,Kuala Lumpur Malaysia
"Regional Seminar on Fintech in Capital Market New Ecosystem for Market Based Financing Development & Financial Inclusion",4,ADB,Bangkok Thailand
"International Programme on Management of Rural Financing Institutions & Co-operating for Rural Development",3,CICTAB,Hyderabad India
"Workshop on Applying AML/CFT Controls to Delegated Non-Financial Businesses & Professions",5,Bank of Korea,Seoul Korea
The SEACEN Course on Macro prudential Policy,4,SEACEN,Papua New Guinea
14th Payment & Settlement System,2,Bank of Finland,Helsinki Finland
"Technical Assistance & Training Working Group of Egmont Group of  Financial Intelligence UNITS-AD-HOC Meeting",2,APG,Warsaw Poland
Observation Tour of Micro-financing System of Sri Lanka,1,CBSL,Sri Lanka
"SEACEN Signature Course on Macroeconomic & Monetary Policy",4,SEACEN,Seoul Korea
Central Bank Seminar,1,BIS,Zurich Switzerland
24th SAARC-FINANCE Co-coordinators Meeting,1,SAARC-FINANCE,Sri Lanka
Human Resource Management,1,DBB,Frankfurt Germany
6th Economics & Finance Conference,1,Banque de France,Paris France
"Meeting on the New Expected Loss Provisioning  Framework &the Revisited Standardized Approach for Credit Risk",2,SEACEN,Hong Kong
8th AFI Global Policy Forum,1,AFI,Nadi Fiji
19th APG Annual Meeting,2,APG,California USA
Payment System & Instruments,2,ISCB,Istanbul Turkey
Financial Sectors Legal Frameworks,2,,Singapore
"Developing Managerial Decision Making Skills for Marketing Cooperatives",4,CICTAB,"Bhuwaneshwor India"
Liquidity Analysis & Liquidity Management,1,DBB,Frankfurt Germany
Financial Consumer Protection,1,DBB,Frankfurt Germany
Reserve Management,1,BIS,Warth Switzerland
Gold Reserve Management,2,World gold Council,London UK
"Prudential Supervision of the Banking Sector & Macro prudential Regulations",2,ISCB,Istanbul Turkey
"FSI-SEANZA Regional Seminar on Implementation of Macro prudential Policies",6,FSI-SEANZA,Bali Indonesia
"Seminar on Central Bank Transparency  & Monetary Policy Communication",2,CBSL,Colombo Sri Lanka
"Maintaining Regional Financial Stability During  a time Uncertain Global  Economic Performance",3,SEACEN,Mumbai India
Inter Government Meeting,1,NTTFC,Lhasa China
Annual Plenary PPWG Meeting,2,FATF,Doha Qatar
Economic Education-The Role of Central Banks,1,DBB,Frankfurt Germany
A Study Tour of E-Payment in India,1,,New Delhi India
Experience Sharing on Remittance Inflows,3,RMA,Bhutan
Workshop on Human Resource Management & Training,2,Banque de France,Paris France
Digital Payment Ecosystem Visit India,2,UNCDF,Mumbai/Delhi India
Exposure Visit to Cambodia,25,CMA,Cambodia
International Programme on Agro Value Chain Financing,2,CICTAB,Pune India
Contract Signing between NRB & CIMB,2,NRB,Singapore
IMF 2016 Annual Meeting,2,IMF,Washington DC USA
Management in the Central Bank,1,FRBank,New York USA
Supervision,1,FRBank,New York USA
SEACEN-IMF Course on Macroeconomic Diagnostics,4,SEACEN,Siam Reap Cambodia
FATF October Plenary & Working Group Meeting,3,FATF,Paris France
Thomson Reuters Eikon Training,3,Thomson Reuters,Mumbai. India
Seminar on Safeguard Assessments of Central Banks,2,IMF,Singapore
Exposure Visit to Cambodia,25,CMA,Cambodia
Seminar on Central Bank Finance,2,Bank Indonesia,Indonesia
"2016 Regional Forum on Investment Management of Foreign Exchange Reserves",1,ADB,Philippines
Destruction Process of Rs. 1000 Denomination Note,2,PERURI,Jakarta Indonesia
Advanced Capital Planning & Stress Testing,3,SEACEN,Hong Kong
"Outreach Meeting on Supervisory Challenges & Forward Looking Supervision",1,BIS,Hong Kong
"FSI-EMEAP Regional Seminar - the Regulation & Supervision of Systematically Important Banks",4,BIS,Beijing China
To Bring US$ From CMB,2,NRB,Singapore
Short-Term Forecasting at Central Banks,1,ISCB,Istanbul Turkey
Seminar on Macro Stress Testing,2,IMF-STI,Singapore
7th MAS information Technology Supervision Workshop,2,MAS,Singapore
"Seminar on SAARC Finance Database & First Meeting of Working Group in SAARC FINANCE Database",4,RBI,Pune India
Seminar on Trading Book Issues & Market Infrastructure,1,BIS,Madrid Spain
Invitation to Visit Banknote Printing in Nanchang,4,China Banknote,China
SEACEN-IMF Course of Monetary Policy Operations,3,SEACEN,Manila Philippines
2016 SEACEN-OMFIF Joint Policy Summit,2,SEACEN,Kuala Lumpur Malaysia
Financial Stability,4,Bank of Korea,Seoul Korea
"Agricultural & Rural Development through Cooperative  Business Model",3,CICTAB,Pune India
"Development Managerial Skills For Agricultural Co-Operative & Rural Financing Institutions",3,CICTAB,Gurgaun India
Market Development with Finance Co-operation,2,China Govt,China
Compliance for Financial Institutions,2,CBSL,Colombo Sri Lanka
"Central Bank Governance Forum- Governance Bodies and Enabling Mechanisms",2,"Institute of Corporate Governance",Dubai
"Seminar of Banking & Entrepreneurship Development of Nepal",1,NRNA,Bali Indonesia
