Particulars,Growth Rate,-,-
-,2014/15,2015/16R,2016/17P
   Agriculture ,1.1,0.03,5.3
Agriculture and Forestry ,1,-0.2,5.3
Fishery,7.1,11.8,6.9
Non-agriculture  Industry ,3.9,0.2,7.7
Mining and Quarrying ,1.4,-6.3,10.9
Manufacturing ,2.3,-2.8,8.2
"Electricity, Gas & Water ",0.4,-8,9.7
Construction service,0.8,-7.4,13
Wholesale & Retail Trade ,2.9,-4.4,11.7
Hotels & Restaurants ,4.6,2.1,6.9
"Transport, Storage & Communication ",2.4,-2.5,9.8
Financial Intermediation ,3.3,-9.7,7.1
"Real Estate, Renting & Business Activities ",6.2,2,6.5
Public Administration & Defence ,2.9,8.6,6.7
Education ,0.8,3.7,5.3
Health & Social Work ,8.8,2.5,9.6
"Other Community, Social & Personal Service Activities",5.1,7,4.2
-,11.4,3.2,6.6
 -,12.5,3.7,5.9
GDP at basic prices,3,0.01,6.9
GDP at producers' prices,3.3,0.4,7.5
