 ---,Particulars,PAPWT,MCPW,TLDP,PCRW,RISMFP,Total
A. Income,Interest Income:,2031063,573014,5550744,1269228,-,9424049
A. Income,From Loan to PFIs, -, -, -,83417, -,83417
A. Income,On Investment,2031063,573014,5550744,1185811, -,9340632
A. Income,Loan Loss Prov. Written back, -, -, -,22245, -,22245
A. Income,Other Income, -, -, -, -, -,-
A. Income,Total Incomes,2031063,573014,5550744,1291473,-,9446294
B. Expenditure,Administrative Expenses, -, -, -, -,175828,175828
B. Expenditure,Interest Expenses,1478250,762535,4011500,371439, -,6623724
B. Expenditure,Foreign Exchange Loss, -, -, -, -,4129996,4129996
B. Expenditure,Loan Loss Provision, -, -, -, -, -,-
B. Expenditure,Depreciation, -, -, -, -, -,-
B. Expenditure,Total Expenses,1478250,762535,4011500,371439,4305824,10929548
B. Expenditure,Surplus (Deficit) (A-B),552813,-189521,1539244,920034,-4305824,-1483254
