 -,2015,2016,2017,2018
World Trade (Merchandise and Services),2.8,2.4,4.2,4
World Output ,3.4,3.2,3.6,3.7
Advanced Economies ,2.2,1.7,2.2,2
      United States ,2.9,1.5,2.2,2.3
       Euro Area ,2,1.8,2.1,1.9
       Japan ,1.1,1,1.5,0.7
Emerging and Developing Economies ,4.3,4.3,4.6,4.9
Emerging and Developing Asia ,6.8,6.4,6.5,6.5
China  ,6.9,6.7,6.8,6.5
India,8,7.1,6.7,7.4
Commodity Prices , -, -, -, -
Fuel ,-47.2,-15.7,17.4,-0.2
Non-fuel ,-17.5,-1.8,7.1,0.5
Consumer Prices , -, -, -, -
Advanced Economies ,0.3,0.8,1.7,1.7
Emerging and Developing Economies,4.7,4.3,4.2,4.4
