Name,Head Office,,"Operation 
Date (A.D.)","Paid-up 
Capital # 
(Rs. in Million)","Working 
Area"
Nepal Bank Ltd.,kathmandu,,11/15/1937,8042.66,National Level
Rastriya Banijya Bank Ltd.,kathmandu,,1/23/1966,8588.97,National Level
Agriculture Development Bank Ltd.,kathmandu,,1/21/1968,12520.39,National Level
Nabil Bank Ltd.,kathmandu,,7/12/1984,6185.51,National Level
Nepal Investment Bank Ltd.1,kathmandu,,3/9/1986,9240.38,National Level
Standard Chartered Bank Nepal Ltd.,kathmandu,,2/28/1987,4005.72,National Level
Himalayan Bank Ltd.,kathmandu,,1/18/1993,6491.62,National Level
Nepal SBI Bank Ltd.,kathmandu,,7/7/1993,6924.89,National Level
Nepal Bangaladesh Bank Ltd.,kathmandu,,6/6/1994,7219.06,National Level
Everest Bank Ltd.,kathmandu,,10/18/1994,4606.43,National Level
Kumari Bank Ltd. 2,kathmandu,,4/3/2001,6208.42,National Level
Laxmi Bank Ltd.,kathmandu,,4/3/2002,6318.06,National Level
Citizens Bank International Ltd.,kathmandu,,4/20/2007,6921.69,National Level
Prime Commercial Bank Ltd. 3,kathmandu,,9/24/2007,6325.43,National Level
Sunrise Bank Ltd.,kathmandu,,10/12/2007,7017.7,National Level
Mega Bank Nepal Ltd.,kathmandu,,7/23/2010,4582.31,National Level
Century Commercial Bank Ltd. 4,kathmandu,,3/10/2011,5460.63,National Level
Sanima Bank Ltd.,kathmandu,,2/15/2012,6897.63,National Level
Machhapuchhre Bank Ltd.,Pokhara,,2012/7/9*,6598.7,National Level
NIC Asia Bank Ltd.,Kathmandu,,2013/6/30*,6692.6,National Level
Global IME Bank Ltd. 5,Kathmandu,,2014/4/9*,8080.34,National Level
NMB Bank Ltd.,Kathmandu,,2015/10/18*,6461.77,National Level
Prabhu Bank Ltd.,Kathmandu,,2016/2/12*,5881.4,National Level
Siddhartha Bank Ltd.,Kathmandu,,2016/7/21*,5250.86,National Level
Bank of Kathmandu Ltd.,Kathmandu,,2016/7/14*,5629.58,National Level
Civil Bank Ltd. 6,Kathmandu,,2016/10/17*,5185.22,National Level
Nepal Credit and Commerce Bank Ltd.,Kathmandu,,2017/01/01*,4679.06,National Level
Janata Bank Nepal Ltd. 7,Kathmandu,,2017/04/07*,6993.69,National Level
