Name,Head Office,,Paid-up Capital # Rs. in Million),Working Area,,,
NIDC Development Bank Ltd., Kathmandu,6/15/1959,415.82,National Level,,,
Narayani Development Bank Ltd., Chitawan,10/17/2001,55.57,District Level ,,,
Sahayogi Vikas Bank Ltd., Dhanusha,10/23/2003,423.08,District Level ,,,
Karnali Bikash Bank Ltd., Banke,2/18/2004,151,District Level ,,,
Excel Development Bank Ltd., Jhapa,7/21/2005,384.56,District Level ,,,
Western Development Bank Ltd., Dang,9/15/2005,313.92,District Level ,,,
Miteri Development Bank Ltd., Sunsari,10/13/2006,380.29,District Level ,,,
Tinau Bikas Bank Ltd., Rupandehi,11/1/2006,460.85,District Level ,,,
Kankai Bikas Bank Ltd., Jhapa,5/3/2007,150,District Level ,,,
Bhargab Bikas Bank Ltd., Banke,8/30/2007,264,District Level ,,,
Alpine Development Bank Ltd., Makawanpur,10/5/2007,260.08,District Level ,,,
Corporate Development Bank Ltd.,Parsa,11/7/2007,305,District Level ,,,
Kabeli Bikas Bank Ltd., Dhankuta,12/16/2007,84.21,District Level ,,,
Purnima Bikas Bank Ltd., Rupandehi,5/20/2008,352.39,District Level ,,,
Hamro Bikas Bank Ltd.,Nuwakot,4/19/2009,413.64,District Level ,,,
Kanchan Development Bank Ltd., Kanchanpur,9/19/2009,346.5,District Level ,,,
Raptibheri Bikas Bank Ltd., Banke,1/15/2010,143.77,District Level ,,,
Tourism Development Bank Ltd., Kathmandu,3/18/2010,1831.29,National Level,,,
Mission Development Bank Ltd., Rupandehi,6/15/2010,389.85,District Level ,,,
Mount Makalu Development Bank Ltd., Terathum,7/21/2010,69.16,District Level ,,,
Sindhu Bikas Bank Ltd., Sindhupalchowk,9/9/2010,262.19,District Level ,,,
Sahara Bikas Bank Ltd., Sarlahi,10/27/2010,67.26,District Level ,,,
Salapa Bikash Bank Ltd., Khotang,7/16/2012,28,District Level ,,,
Saptakoshi Development Bank Ltd., Morang,10/2/2012,211,District Level ,,,
Sajha Bikash Bank Ltd., Kailali,4/30/2013,100,District Level ,,,
Green Development Bank Ltd., Baglung,8/25/2013,100,District Level ,,,
Sangrila Development Bank Ltd. 8, Kathmandu,2014/7/13*,1358.47,National Level,,,
Deva Development Bank Ltd., Kathmandu,2015/7/10*,1444.98,National Level,,,
Kailash Bikash Bank Ltd., Kathmandu,2016/4/4*,2291.49,National Level,,,
Shine Resunga Development Bank Ltd., Rupandehi,2013/3/17*,1102.89,District Level ,,,
Kamana Sewa Bikas Bank Ltd., Kaski,2017/8/4*,804.4,National Level,,,
Jyoti Bikas Bank Ltd., Kathmandu,2016/8/12*,2129.05,National Level,,,
Garima Bikas Bank Ltd., Kathmandu,2016/9/20*,2204.24,National Level,,,
Om Development Bank Ltd. 9, Kaski,2017/6/16*,1643.94,National Level,,,
Mahalaxmi Bikas Bank Ltd. 10, Kathmandu,2017/7/2*,2633.8,National Level,,,
Gandaki Bikas Bank Ltd. 11, Kaski,2017/7/5*,1843.93,National Level,,,
Lumbini Bikas Bank Ltd. 12,  Kathmandu,2017/7/9*,2008.88,National Level,,,
