Name,Head Office,Operation Date (A.D.),Paid-up Capital # (Rs. in Million),Working Area,
Nepal Finance Ltd.,Kamaladi, Kathmandu,1/6/1993,135.8,NationalLevel
Nepal Share Markets and Finance Ltd.,Ramshahapath,Kathmandu,10/19/1993,233.33,National Level
Union Finance  Ltd.,Narayanchaur, Naxal,12/12/1994,176.59,National Level
Goodwill Finance  Ltd.,Hattisar, Kathmandu,5/15/1995,453.75,National Level
Lalitpur Finance Co. Ltd.,Lagankhel, Lalitpur,12/14/1995,187.95,National Level
United Finance Co. Ltd.,Durbarmarg, Kathmandu,1/26/1996,672.71,National Level
General Finance Ltd.,Chabahil,  Kathmandu,2/1/1996,132.23,National Level
Progressive Finance Co. Ltd.,Newroad, Kathmandu,2/26/1996,210,National Level
Janaki Finance Co. Ltd.,Janakpurdham, Dhanusha,3/7/1997,341.86,District Level 
Pokhara Finance Ltd.,Pokhara, Kaski,3/16/1997,557.42,National Level
Arun Finance Ltd.,Dharan, Sunsari,8/17/1997,150,National Level
Multipurpose  Finance Co. Ltd,Rajbiraj, Saptari,4/15/1998,41.47,District Level 
Shrijana  Finance Ltd.,Biratnagar, Morang,12/14/1999,302.4,District Level 
World  Merchant Banking & Finance Ltd.,Hetauda, Makawanpur,8/10/2001,181.98,National Level
Capital  Merchant Banking & Finance Co. Ltd.,Battisputali, Kathmandu,2/1/2002,935.07,National Level
Crystal Finance Ltd.,Thapathali,Kathmandu,3/13/2002,70,National Level
Guheshwori  Merchant Banking & Finance Ltd.,Pulchowk, Lalitpur,6/13/2002,493.48,National Level
ICFC Finance Ltd.,Bhatbhateni, Kathmandu,7/15/2004,801.78,National Level
Kuber Merchant Finance Ltd.,Kamalpokhari, Kathmandu,3/24/2006,150,National Level
Seti Finance Ltd.,Tikapur, Kailali,5/18/2006,152.6,District Level 
Namaste Bitiya Sanstha Ltd.,Ghorahi, Dang,7/9/2007,84,District Level 
Manjushree Financial Institution Ltd.,Nayabaneshwor,  Kathmandu,10/17/2007,724.38,National Level
Jebil's Finance Ltd.,Newroad, Kathmandu,10/28/2009,288.96,National Level
Synergy Finance  Ltd.,Butwal, Rupandehi,2012/12/6*,474.41,National Level
Reliance Finance Ltd.,Pradarsani Marg, Kathmandu,2014/05/08*,512.57,National Level
Gorkhas Finance Ltd.,Dillibazar, Kathmandu,2016/4/10*,762.47,National Level
Shree Investment & Finance Co. Ltd.,Dillibazar, Kathmandu,2017/2/1*,345.45,National Level
Central Finance Ltd.,Kupondole, Lalitpur,2017/3/23*,520.66,National Level
