Name,Head Office,Operation Date (A.D.),Paid-up Capital # (Rs. in Million),Working Area,
Nirdhan Utthan Bank Ltd.,Naxal, Kathmandu,7/17/1999,600,National Level
Rural Microfinance Development Centre Ltd.,Putalisadak, Kathmandu,12/6/1999,692.12,National Level
Deprosc Microfinance Development Bank Ltd.,Bharatpur, Chitwan,7/3/2001,606.12,National Level
Chhimek Microfinance Development Banks Ltd.,Old Baneshwor, Kathmandu,12/10/2001,834.07,National Level
Shawalamban Laghu Bitta Bikas Banks Ltd.,Lalcolony Marg, Kathmandu,2/22/2002,418.96,National Level
Sana Kisan Bikas Bank Ltd.,Subidhanagar, Kathmandu,3/11/2002,503.06,National Level
Nerude Laghu Bitta Bikas Bank Ltd.,Biratnagar, Morang,6/15/2007,306,National Level
Naya Nepal Laghu Bitta Bikas Bank Ltd.,Dhulikhel, Kavre,3/20/2009,20,District Level 
Mithila Laghu Bitta Bikas Bank Ltd.,Dhalkebar, Dhanusha,4/29/2009,57.37,District Level 
First Microfinance Development Bank Ltd,Gyaneshwor, Kathmandu,12/28/2009,395.59,National Level
Nagbeli Microfinance Development Bank Ltd,Birtamod, Jhapa,2/4/2010,52.64, District Level 
Kalika Microcredit Development Bank Ltd.,Waling, Syangja,7/21/2010,50, District Level 
Mirmire Microfinance Development Bank Ltd.,Banepa, Kavre,9/23/2010,30, District Level 
Janautthan Samudayik Microfinance Dev. Bank Ltd.,Butwal, Rupandehi,11/9/2010,24, District Level 
Womi Microfinance Bittiya Sanstha Ltd.,Khanikhola, Dhading,3/8/2012,64.8, District Level 
Laxmi Microfinance Bittiya Sanstha Ltd.,Maharajgunj, Kathmandu,6/4/2012,220,National Level
Civil Laghubitta Bittiya Sanstha Ltd.,Chuchepati,Kathmandu,7/5/2012,105,National Level
Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,Chitlang, Makwanpur,12/25/2012,121,National Level
Kisan  Microfinance Bittiya Sanstha Ltd.,Lamkichuha, Kailali,1/16/2013,32.2, District Level 
Vijaya Laghubitta Bittiya Sanstha Ltd.,Gaidakot, Nawalparasi,3/28/2013,161,National Level
NMB Microfinance Bittiya Sanstha Ltd.,Pokhara-Hemja, Kaski,3/31/2013,112.7,National Level
FORWARD Community Microfinance Bittiya Sanstha Ltd.,Duhabi Bhaluwa, Sunsari,5/17/2013,200,National Level
Reliable Microfinance Bittiya Sanstha Ltd.,Besisahar, Lamjung,5/19/2013,56.5, District Level 
Mahuli Samudyik Laghubitta Bittiya Sanstha Ltd.,Bakdhuwa, Saptari,6/15/2013,40, District Level 
Suryodaya Laghubitta Bitiya Sanstha Ltd.,Putalibazar, Syanja,7/16/2013,40, District Level 
Mero Microfinance Bittiya Sanatha Ltd.,Battar, Nuwakot,7/18/2013,220,National Level
Samata Microfinance Bittiya Sanatha Ltd.,Pipra, Simara,8/25/2013,31.6, District Level 
RSDC Laghubitta Bitiya Sanstha Ltd.,Butwal, Rupandehi,9/11/2013,115,National Level
Samudayik  Laghubitta Bitiya Sanstha Ltd.,Panchkhal, Kavre,4/13/2014,70, District Level 
National Microfinance Bittiya Sanstha Ltd.,Nilkantha, Dhading,7/2/2014,100,National Level
Nepal Grameen Bikas Bank Ltd.,Butwal, Rupandehi,2014/8/15*,557.5,National Level
Nepal Sewa Laghubitta Bittiya Sanstha Ltd.,Phataksila, Sindhupalchok,10/26/2014,21, District Level 
Unnati Microfinance Bittiya Sanstha Ltd.,Padsari, Rupandehi,11/7/2014,38.5, District Level 
Swadeshi Lagubitta Bittiya Sanstha Ltd.,Itahari, Sunsari,12/31/2014,100,National Level
NADEP Laghubitta Bittiya Sanstha Ltd.,Gajuri, Dhading,5/15/2015,112,National Level
Support Microfinance Bittiya Sanstha Ltd.,Hasposa, Itahari,7/12/2015,42, District Level 
Arambha Microfinance Bittiya Sanstha Ltd.,Ugratara, Kavrepalanchok,7/23/2015,20.4, District Level 
Janasewi Laghubitta Bittiya Sanstha Ltd.,Kushma, Parbat,9/29/2015,49, District Level 
Chautari Laghubitta Bittiya Sanstha Ltd.,Butwal, Rupandehi,1/3/2016,21, District Level 
Ghodighoda  Laghubitta Bittiya Sanstha Ltd.,Sripur Belour,Kanchanpur,6/12/2016,11.05, District Level 
Asha Lagubitta Bittiya Sastha Ltd.,Madanpur Nuwakot,8/29/2016,70,National Level,
Nepal Agro Microfinance Bittiya Sastha Ltd.,Pokhara, Kaski,9/20/2016,28, District Level 
Rama Roshan Microfinance Bittiya Sastha Ltd.,Mangalsen, Acham,9/22/2016,13.4, District Level 
Creative LaghuBitta Bittiya Sastha Ltd.,Pratapur, Kailali,9/25/2016,14, District Level 
Gurans LaghuBitta Bittiya Sastha Ltd.,Dhankutabazaar, Dhankuta,11/16/2016,28, District Level 
Ganapati Microfinance Bittiya Sastha Ltd.,Shuklagandaki, Tanahu,12/9/2016,70,National Level
Infinity Microfinance Bittiya Sanstha Ltd,Gaidakot, Nawalparasi,1/20/2017,70,National Level
Adhikhola Laghubitta Bittiya Sanstha Ltd.,Bhirkot, Syangja,2/12/2017,19.2, District Level 
SwabhimanMicrofinance Bittiya Sanstha Ltd.,Tilottama, Rupandehi,5/22/2017,14,National Level
Sparsha Laghubitta Bittiya Sanstha Ltd.,Pokhara Lekhnath, Kaski,7/13/2017,56, District Level 
Sabaiko Laghubitta Bittiya Sanstha Ltd.,Bandipur, Tanahu,7/14/2017,112,National Level
