Name,Head Office,"Operation 
Date (A.D.)",Working Area
Chartare Yuba Club, Baglung,6/5/2000,Baglung
Unique Nepal, Bardiya,6/29/2000,"Banke  Bardiya  Kailali  Kanchanpur 
Dadeldhura"
Samudayik Mahila Bikas Kendra, Saptari,7/14/2000,Saptari
"Dhaulagiri Community Researh 
Dev. Centre",Baglung,10/21/2000,Baglung
"Society of Local Volunteers 
Efforts Nepal (Solve)",Dhankuta,7/10/2001,Dhankuta
"Center for Women's Right and 
Development",Kathmandu,4/30/2002,Kathmandu
MANUSHI,Kathmandu,5/3/2002,"Kathmandu  Sindhupalshowk  Nuwakot 
Dolakha"
Jeevan Bikash Samaj, Morang,6/18/2002,"Morang 
Sunsari 
Jhapa 
Dhankuta 
Sindhuli Udaypur"
Mahila Adarsha Sewa Kendra,New Baneshwor,7/2/2002,Kathmandu
"Patan Buisiness and Professional 
Women", Lalitpur,7/2/2002,Lalitpur
Women's Self-Reliant Society, Chitwan,7/14/2002,Chitwan
"Creative Women Environment 
Development Association.", Kathmandu,7/24/2002,Kathmandu
Shreejana Development Center, Kaski,8/22/2002,Kaski
"Cottage & Small Industries 
Organization", Kathmandu,9/2/2002,Kathmandu
"Social Upgrade in Progress of 
Education Region (SUPER)", Dang,10/29/2002,Dang
"Nepal Women Community 
Service Center",Tribhuwan Municipality,10/30/2002,Dang Pyuthan Salyan Rolpa
Gramin Mahila Bikash Sanstha,Tribhuwan Municipality,4/23/2003,Dang
Gramin Mahila Utthan Kendra,Tribhuwan Municipality,6/18/2003,Dang Banke Pyuthan Salyan Rolpa
Gramin Sewa Nepal, Kailali,9/18/2003,Kailali
Mahila Upakar Manch, Banke,10/29/2003,Banke
Gramin Swayam Sewak Samaj, Sarlahi,11/20/2005,Sarlahi Mahottari
"Srijana Community Development 
Center", Siraha,11/18/2012,Siraha Udaypur Sindhuli
"Rastriya Shaichhik Tatha 
Samajik Bikas Sanstha", Parbat,11/18/2012,"Myagdi  Parbat  Kaski  Syangja  Palpa 
Tanahun  Lamjung  Gorkha  Baglung 
Nawalparasi Chitwan"
Nepal Grameen Bikas Sanstha, Kathmandu,12/13/2012,Kathmandu Makawanpur Bara Parsa
"Women Enterprises Association 
of  Nepal", Kathmandu,1/4/2013,Kathmandu
