Name,Head Office,"Operation 
Date (A.D.)","Paid-up 
Capital # 
(Rs. in Million)"
Shree Nabajivan Co-operative  Ltd.,Dhangadi Kailali,12/15/1993,138
Sagun Sahakari Sanstha Ltd.,Chhetrapati Kathamandu,10/9/1994,11.73
Nepal  Sahakari Bittiya Sanstha Ltd.,"Newbaneshwor 
Kathamandu",12/30/1994,29.46
The Sahara Loan Saving Co-operative Society Ltd.,Malangawa Sarlahi,4/15/1995,145.84
Bindabasini Saving & Credit Sahakari Sanstha Ltd.,Khopasi Kavre,6/21/1995,175.52
Mahila  Sahakari Sanstha Ltd.,Kuleshwor Kathmandu,9/27/1995,28.4
Sahakari Bittiya Bikash Sanstha Ltd.,Nepalgunj Banke,6/16/1996,19.99
Shree Manakamana Sahakari Sanstha Ltd.,Banepa Kavre,2/18/1997,53.71
Bheri Sahakari Bittiya  Sanstha Ltd.,Nepalgunj Banke,3/5/1997,18.13
Viccu Saving & Credit Sahakari Sanstha Ltd.,Gaidakot Nawalparasi,8/11/1997,177.56
Kisan  Multipurpose Sahakari Sanstha Ltd.,Lamki Kailali,12/29/1997,67.5
Star Multipurpose Saving & Credit Sahakari Sanstha Ltd.,Biratnagar Morang,4/14/1998,32.43
Himalaya Sahakari Sanstha Ltd.,"Purano Baneshwor 
Kathmandu",4/29/1998,57
Upakar Saving & Credit Sahakari Sanstha Ltd.,Walling Syangja,3/21/2000,53.97
