Sector,Mid-Feb 2015,Mid July 2015,Mid-Feb to Mid July 2016,Percentage Change (Mid July to Mid Mar),Share in Total Credit Flow
Agriculture,6516.0,7879.1,8545.3,8.5,4.4
Mines,352.6,340.4,329.5,3.2-,0.2
Productions,25556.6,29611.1,33170.5,12.0,17.1
Constrruction,15287.2,18287.2,21568.6,17.9,11.1
Metal,1620.8,1947.3,2343.6,20.3,1.2
Transport,2300.2,2994.2,3555.1,18.7,1.8
Transportation and Communicatio and Public Services,6004.2,8396.7,10279.5,22.4,5.3
Wholesalers and Retailers,29746.5,37435.0,42306.0,13.0,21.8
Finance and Insurance and Fixed Assets,10725.3,13505.6,15736.6,16.5,8.1
Service Industries,10799.4,12657.5,14519.6,14.7,7.5
Consumable Loan,5868.8,6518.7,7919.4,21.5,4.1
Local Government,171.5,165.5,156.1,5.7-,0.1
Others,21259.6,28446.9,33243.8,16.9,17.2

