Company Administration Tasks,69/70,70/71,71/72,Total till 71/72,72/73 1st Trimester,72/73 2nd Trimester,72/73 3rd Trimester,72/73 Total,Total till 72/73
Company De-registration,202,385,554,1141,225,187,274,686,1827
Merging companies,27,19,32,78,8,9,25,42,120
Name Change,552,459,693,1704,272,263,403,938,2642
Address Change,1169,921,1232,3322,510,577,732,1819,5141
Sale and purchase of shares,3825,3545,5972,13342,2146,2251,3333,7347,20689
ownership changing from Single to Multiple,273,243,372,888,119,136,153,408,1296
Capital structure Change,1171,885,1254,3310,429,455,829,1713,5023
Objectives Change/Amendment,582,516,705,1803,321,390,471,1182,2985
Addition of Branch Offices,433,371,491,1295,206,191,299,696,1991
Amendment of Memorandum of Association or Articles of Association,3202,2633,2456,8291,758,860,1082,2700,10991
Total,11436,9977,13761,35174,4994,5319,7601,17531,52705
