Country,Paid-up capital,Reserves,Loan from Direct Investors,Total,Share in Total
Australia,4094.7,1948.4,11.2,6054.4,3.6
Bangladesh,3343.5,979.7,0,4323.2,2.6
Belarus,1.5,0,0,1.5,0
Belgium,3,0,0,3,0
Bermuda,112.1,417.9,188.2,718.3,0.4
Bhutan,0.6,0,0,0.6,0
Brazil,2,0,0,2,0
British Virgin Island,10,0,0,10,0
Brunei,122.7,-91.8,0,30.9,0
Canada,1.7,2,0,3.7,0
Cayman Island,97,58.7,0,155.7,0.1
China,10568.1,-509.5,7069.3,17128,10.2
Cyprus,0.9,0,0,0.9,0
France,47.5,0,0,47.5,0
Germany,118.1,-92.4,0,25.7,0
Hong Kong,3611.8,871.9,696.4,5180.1,3.1
India,14215.5,17405.4,1247.6,32868.4,19.5
Ireland,4023.9,3066.1,0,7090,4.2
Italy,52.6,-63.1,0,-10.5,0
Japan,1347.7,-243.6,200.2,1304.3,0.8
Kazakhstan,1.5,0,0,1.5,0
Malaysia,358,150.7,0,508.8,0.3
Mauritius,644.7,199,0,843.7,0.5
Netherlands,1720.7,530.3,0,2251,1.3
New Zealand,8.3,3.7,0,12,0
Norway,560,1381.1,0,1941,1.2
Pakistan,1625.9,718.1,0,2344,1.4
Philippines,1.5,0,0,1.5,0
Russia,143.8,-30.4,0,113.3,0.1
Seychelles,24.6,-2166.6,2134.6,-7.4,0
Singapore,3734.1,3191.7,0,6925.9,4.1
South Korea,3773.9,-325.6,76.6,3524.8,2.1
Sri Lanka,108.8,33.1,0,141.9,0.1
Sweden,31.7,0,0,31.7,0
Switzerland,158,-0.5,0,157.5,0.1
Taiwan,1.5,0,0,1.5,0
Tajikistan,7.8,-1.7,0,6.1,0
Thailand,23,0,0,23,0
Turkey,18.7,5.9,0,24.6,0
UAE,233.5,3612.3,58.5,3904.3,2.3
UK,2180.4,1221,0,3401.4,2
USA,908.3,1311.1,147.3,2366.8,1.4
West Indies,80,65074.5,0,65154.5,38.6
Total,58123.5,98657.6,11829.9,168611,100
