Fiscal Year,Approved FDI*,Actual Net FDI**,Percent
1995/96,2219.9,388,17.5
1996/97,2395.5,1621,67.7
1997/98,2000.3,685,34.2
1998/99,1666.4,578,34.7
1999/00,1417.6,233,16.4
2000/01,3002.6,-33,-1.1
2001/02,1209.7,-282,-23.3
2002/03,1793.8,961,53.6
2003/04,2764.8,0,0
2004/05,1635.8,136,8.3
2005/06,2606.31,-470,-18
2006/07,3226.79,362,11.2
2007/08,9811,294,3
2008/09,6255.09,1829,29.2
2009/10,9100,2852,31.3
2010/11,10050.71,6437,64
2011/12,7140,9195,128.8
2012/13,19936,9082,45.6
2013/14,20107.4,3195,15.9
2014/15,67455,4383,6.5
2015/16,15139.53,5921,39.1
2016/17,15153,13503.9,89.1
2017/18,55730.38,17512.82,31.4
Total,261817.61,78383.72,29.9
