Industries,Fiscal  Years,Fiscal  Years,Fiscal  Years,Fiscal  Years,Fiscal  Years,Fiscal  Years,Fiscal  Years
 --,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06R,2006/07P
Agriculture  and  forestry,36.15,36.92,36.03,35.45,34.71,33.37,32.57
Fishing,0.43,0.49,0.46,0.48,0.47,0.5,0.5
Mining  and  quarrying,0.43,0.48,0.49,0.48,0.49,0.49,0.48
Manufacturing,9.03,8.5,8.2,8.05,7.92,7.68,7.5
"Electricity,  gas  and  water",1.82,2.06,2.42,2.31,2.26,2.11,1.96
Construction,6.01,6.49,6.54,6.42,6.47,6.55,6.39
Wholesale  and  retail  trade,16.44,14.59,14.51,15.29,14.09,14.48,13.92
Hotel  and  restaurant,1.99,1.61,1.59,1.73,1.57,1.49,1.42
"Transportation,      storage      and
communications",7.39,7.87,8.31,8.94,9.06,10.39,11.76
Financial  intermediation,2.69,2.75,2.72,2.65,3.06,3.31,3.28
"Real  estate,  renting  and  business
activities",8.29,8.23,8.08,7.72,8.69,8.25,8.47
Public  administration  and  defence,1.24,1.63,1.7,1.55,1.69,1.76,1.81
Education,4.08,4.69,5.19,5.08,5.59,5.56,5.74
Health  and  social  work,0.98,1.04,1.14,1.12,1.24,1.27,1.29
"Other    community,    social    and
personal  service  activities",3.03,2.66,2.63,2.73,2.69,2.81,2.93
