Indicators  (Unit),Fiscal  Years,Fiscal  Years,Fiscal  Years,Fiscal  Years,Fiscal  Years,Fiscal  Years
 --,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07*
"Real  GDP  (at  producer  price)  (Annual  %
change)",0.1,3.9,4.7,3.1,2.8,2.5
Real GDP (at base price) ,0.2,3.8,4.4,2.9,3.1,2.3
GDPc ,0.5,3.4,5.1,3,3.3,2.5
Agriculture  ,3.1,3.3,4.8,3.5,1.1,0.7
Non-agriculture  ,-1.1,3.5,5.3,2.8,4.6,3.6
GDP (at current producer price) ,4.1,7.1,9,9.8,9.7,11.3
GDPd ,4.4,6.6,9.4,9.4,10,11
Agriculture  ,6.7,4,7.7,7.1,5.8,8.4
Non-agriculture  ,3,8.2,10.3,10.6,12.2,12.3
GNP (at current price) ,3.5,7.1,8.8,10.5,10.2,11.1
Overall  agriculture  index  ,2.4,3.7,3.2,2.8,1.1,0.4
Food  and  other  crops  ,2.3,2,3.4,1.5,0,-3.3
Animal  production  ,2.5,3.2,3.4,2.3,3,2.6
Vegetable  and  horticulture  ,5.1,3.6,5,9.3,5.7,6.7
Forestry  production  ,1.9,1.9,1,0.2,-2.5,1.7
Major  industrial  production  index  ,-6.6,2.4,2.1,2.6,1.9,2.1
GDP price index3 ,3.9,3.1,4,6.3,6.4,8.3
-Agriculture ,3.5,0.7,2.8,3.5,4.7,7.7
-Non-agriculture ,4.1,4.5,4.8,7.8,7.3,8.5
"National  urban  consumer  price  index,
annual  average  change  (1995/96=100)",2.9,4.8,4,4.5,8,6.6
Gross  National  Savings/GNP  ratio  (%),24.2,23.8,27.3,28.3,28,28.4
"Ratio  with  GDP  (at  current  producer
price)  ", --, --, --, --, --, --
-Gross Domestic Savings   ,9.5,8.6,11.8,11.6,7.9,9.4
-Gross  Investment   ,20.2,21.4,24.5,26.5,26,25.3
"-Difference between Domestic savings
and investment   ",-10.7,-12.8,-12.8,-14.9,-18.1,-16
-Total consumption ,90.5,91.4,88.3,88.4,92.1,90.6
-Total  Government  Expenditure  ,17.4,17.1,16.7,17.4,17.3,18.8
-Current Expenditure ,10.6,10.6,10.3,10.5,10.7,11.2
-Capital  expenditure  ,5.4,4.5,4.3,4.6,4.5,5.1
#NAME?,1.4,1.9,2,2.3,2.2,2.6
"Debt  service  (principal  and  interest
payment)  ",2.7,3.3,3.2,3.4,3.2,3.4
-Total revenue ,11,11.4,11.6,11.9,11.2,12
-Tax revenue ,8.6,8.7,9,9.2,8.9,9.7
-Non-tax revenue ,2.4,2.8,2.6,2.7,2.3,2.3
-Budget deficit ,5,3.3,2.9,3.1,4,4.6
-Foreign debt received ,1.7,0.9,1.4,1.6,1.5,1.4
-Foreign loans and grants ,3.1,3.2,3.5,4,3.6,3.7
-Total  outstanding  domestic  debt  ,15.1,16.4,15.2,14.1,13.9,13.6
-Total  outstanding  foreign  debt  ,47.9,45.4,43.4,37.3,36.2,32.6
-Total  outstanding  debt  ,63,61.8,58.5,41.3,50.1,46.2
-Total  exports  (goods)  ,10.2,10.1,10,10,9.3,8.4
-Total  imports  (goods)  ,23.4,25.3,25.4,25.4,26.9,25.8
-Trade deficit ,13.2,15.1,15.3,15.4,17.6,17.5
-Current account surplus ,4,2.4,2.7,2,2.2,1.1
"Total  outstanding  foreign  debt/total
government  revenue  ",436.4,397.4,373.5,313.2,323.7,271.9
Total  government  revenue  (%  Change),3.2,11.5,10,12.5,3.1,19.5
Current  expenditure  ,6.6,6.6,6.6,11,12,19.9
Capital  expenditure  ,-12.5,-9.8,3.3,18.4,5.3,22.9
Principal  repayment  ,13.1,48.6,12.9,25.4,5.4,32.1
Total  government  expenditure  ,0.3,4.9,6.5,14.7,9.3,22.2
"Debt  service  (principal  and  interest
payment)  ",17.5,32.6,7.1,13.9,3.4,20.9
"Debt  service  (principal  and  interest
payment/current  expenditure)  ",25,31.1,31.2,32,30.5,30.7
Narrow money supply (M1) (% Change),9.3,8.6,12.2,6.6,14,13.1
Broad  money  supply  (M2)  ,4.4,9.8,12.8,8.3,15.6,16
"Private  sector  share  in  the  total  loan
outstanding  of  the  banking  sector  ",64.3,66.1,68.7,69.1,69.8,75.3
Total  exports  (%  Change),-15.6,6.4,8,8.9,2.6,0
Total  imports  ,-7.2,15.8,9.6,9.7,16.3,7
Export-import  ratio  (%),43.7,40.2,39.6,39.3,34.7,32.4
Current account surplus (Rs. m),18160,11620,14598,11545,14225,8244
Balance  of  payments4  (Rs.  m),-3343,4364,16005,5742,25699,9000
Foreign  exchange  reserve  (Rs.  Billion),105.9,108.23,130.21,129.9,165.13,171.37
Foreign  exchange  rate5 (US$  1=Rs),78.3,75,74.4,70.6,74.4,70.9
Population  (m),23.7,24.2,24.7,25.3,25.9,26.4
