Description,Weight,Fiscal  Years, --, --, --, --, --, --
 --, --,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07
Manufacture  of vegetable  oils  and  fats,15.78,100,122.5,112.28,113.55,121.51,124.77,127.89
Manufacture  of  dairy products,2.77,100,109.43,114.9,121.8,125.98,127.98,133.23
Manufacture  of  grain  mill products  and  animal  feeds,8.16,100,100.4,97.19,103.9,109.32,110.57,117.18
Manufacture  of  other food  products,7.93,100,89.59,104.5,103.94,109.53,114.74,121.73
Manufacture  of beverages,6.59,100,84.07,92.12,92.49,94.8,98.56,103.33
Manufacture  of  tobacco products,6.53,100,98.44,94.5,99.23,9.09.68,98.15,100.86
Manufacture  of  textiles,5.2,100,72.17,68.67,71.83,76.06,80.46,88.78
Manufacture  of  other textiles,6.59,100,80.48,74.27,76.02,80.84,79.41,73.21
Manufacture  of  knitted crocheted  fabrics,1.18, --, --, --, --, --, --, --
Manufacture  of  wearing apparel,7.14,100,72.69,97.41,94.49,75.98,64.36,56.31
Manufacture  of  tanning and  dressing  of  leather,0.92,100,90.51,89.6,87.81,93.12,96.31,104.87
Manufacture  of  saw milling and planing of wood ,0.95,100,108.35,124.48,125.73,128.86,124.48,130.2
Manufacture  of  paper and  paper  products,1.42,100,98.47,103.39,100.29,105.75,106.68,113.27
"Publishing, printing and reproducing  of  recorded media",1.58, --, --, --, --, --, --, --
Manufacture  of  other chemical  products,10.34,100,113.74,111.46,110.35,115.9,124.34,136.61
Manufacture  of  plastic products,4.75,100,120.2,103.37,101.31,102.55,102.57,9.49
Manufacture  of  non-metallic  mineral  products,5.34,100,105.66,109.89,115.05,118.02,124.03,122.75
Manufacture  of  other fabricated  metal  products,3.7,100,104.13,105.84,111.16,113.04,122.78,129.1
Manufacture  of  casting  of metal,1.45, --, --, --, --, --, --, --
Manufacture  of  electric wire  and  cable,1.68,100,103.49,107.63,105.48,109.29,114.4,110.93
Overall manufacturing production,100,100,93.39,95.66,97.66,100.25,102.17,104.32
