Country,2000/01, --,2001/02, --,2002/03, --,2003/04, --,2004/05, --,2005/06, --
 --,Export,Import,Export,Import,Export,Import,Export,Import,Export,Import,Export,Import
India,2603,4521.1,2795.6,5662.2,2643,7092.4,3077.7,7873.9,3891.7,8867.5,4101.3,10930.6
USA,1497.4,128.8,937.8,252.5,1268.6,170.7,969.6,143.3,757.1,176.4,699.3,167.7
Germany,617.9,168.7,404.3,167,355.5,227.8,356.7,197.8,312.1,157.1,284.4,276.2
France,67.6,108.4,47.3,70.6,45.3,159,58.1,67.6,61.8,66.8,129.7,91
UK,98.1,882.7,80.9,83.7,107.1,106.5,167.7,103.5,105,145.2,118.4,96.1
Italy,67.5,41.2,56.7,23.3,53.1,53,58.9,45.2,58.3,18.9,71.2,39.5
Canada,36.6,22.2,30.5,26.3,38.4,40.7,54.6,68.8,52.9,27.7,64.5,71.5
Japan,134.1,330.5,49.3,217.9,47.4,189.1,52.6,169,53.5,256.5,57.2,193.5
Singapore,33.9,1208.6,14.6,734.7,8.6,903.9,5.7,869.9,4.5,774.7,32.2,337.5
Switzerland,58,42,38.2,45.2,26.3,55.5,30.6,24.2,31.6,22.3,31.8,49.1
Belgium,39.2,51.7,29.5,39.9,23,144.4,26.1,112.6,31.9,82.4,30.9,24
Spain,18.8,12.7,15.4,10.6,20,14.9,20.6,15.7,22.3,9.2,28.3,8
Turkey,2.2,18.6,1.2,3.6,8.9,10.9,26.5,8.6,23.3,4,27.8,48.1
Bhutan,2.5,5.2,2.7,8.5,5.2,3.6,7.8,2.2,15,3.2,23.8,12.7
Bangladesh,52.1,20.3,23.7,64.3,41.1,33.5,42.1,67.1,29.1,20.6,23.4,10.5
Netherlands,21.5,28.5,18.2,19.1,24,25.4,28.6,22.9,24.2,37.7,23,30.4
Pakistan,2.1,10.4,6.1,13.3,7.4,15.3,27.8,19.1,22.9,16.7,18.6,19.1
UAE,9,289.8,12.7,38.1,5.8,58.3,8.1,40.8,15.4,77.2,16.5,109.6
Australia,7.2,81.9,6,67.1,8.2,72.1,10,127.1,10.1,152.1,15.4,141.5
Hong Kong,13.8,557.7,6.1,246.1,8.7,227.7,7.7,164.2,12.9,128.6,11.2,93.1
"China, PR*",52.8,1157.4,1.9,431.6,3.1,476,11.7,543.4,5.3,825.4,10.8,663.6
Austria,16,18.1,12.2,20.7,6,26.1,8.9,36.9,10.2,14.1,10,5.9
Sweden,4,14.5,5.2,6.3,5.3,4.6,9.7,9.2,5.6,3.8,9.8,8.6
Denmark,4.9,26.4,2.5,32.2,2.7,34.2,12.9,34,8.8,24.6,8.1,30.6
Taiwan,3.5,91.3,4.4,71.2,4.6,126.7,5.1,117.5,6.7,82.6,7,56.8
Thailand,2.6,330.6,5.5,327.8,8.3,298.9,10.2,432,7.8,311.8,4,260.2
Norway,1.8,5.1,1.9,12,1.5,7.7,1.7,2.9,3.2,2.5,3,2.9
Mexico,1.8,0.08,1.6,0.1,2.7,0.2,1.8,0.02,3.5,0.1,2.7,0.08
"Korea, R.",21.8,223.7,5.9,250.1,5.3,338,6.2,308.1,3.6,278.5,2.6,179
Portugal,3.9,0,3.2,0.1,41.5,0.01,2.9,0,43.8,1.6,1.3,8
Source: Trade and Export Promotion Centre., --, --, --, --, --, --, --, --, --, --, --, --
