आर्थिक वर्ष,निर्यात,निर्यात,आयात,आयात,जम्मा व्यापार,जम्मा व्यापार
 0,भारत,अन्य मुलुक,भारत,अन्य मुलुक,भारत,अन्य मुलुक
२०५५।५६,३५.१,६४.९,३६.७,६३.३,३६.२,६३.८
२०५६।५७,४२.६,५७.४,३६.६,६३.४,३८.५,५८.४
२०५७।५८,४६.८,५३.२,३९.१,६०.९,४१.६,५८.४
२०५८।५९,५९.६,४०.४,५९.६,४०.४,५४.८,४५.२
२०५९।६०,५२.९,४७.१,५२.९,४७.१,५५.९,४४.१
२०६०।६१,५७.१,४२.९,५७.८,४२.२,५७.६,४२.४
२०६१।६२,६६.३,३३.७,५९.३,४०.७,६१.३,३८.७
२०६२।६३,६७.६,३२.४,६१.७,३८.३,६३.२,३६.८
२०६३।६४,७०.३,२९.७,५९.५,४०.५,६२.०,३८.०
२०६४।६५,६५.१,३४.९,६४.२,३५.८,६४.३,३५.७
२०६५।६६,६०.६,३९.४,५७.१,४२.९,५७.८,४२.२
