Year,Edible Food Production,Requirement,Balance
1974/75,2410300,1871200,539100
1975/76,2470800,1912700,558100
1976/77,2352700,2001000,352100
1977/78,2246900,1935500,311400
1978/79,2302400,1990700,311700
1979/80,2000100,2034000,-33900
1980/81,2409400,2060500,348900
1981/82,2508593,2247624,260969
1982/83,2196526,2307468,-110942
1983/84,2742491,2499335,243156
1984/85,2594853,2499857,94996
1985/86,2752229,2578859,173370
1986/87,2588823,2652468,-63645
1987/88,3005939,2726214,279725
1988/89,3417569,2921214,496355
1989/90,3549587,3559011,-9424
1990/91,3618955,3486776,132179
1991/92,3373448,3561838,-188390
1992/93,3292126,3633724,-341598
1993/94,3585112,3723722,-138610
1994/95,3397760,3882915,-485155
1995/96,3913878,3948229,-34351
1996/97,3972587,4079135,-106548
1997/98,4027349,4178077,-150728
1998/99,4097612,4279491,181879
1999/00,4451939,4383443,68496
2000/01,4513179,4430128,83051
2001/2,4543049,4463027,80022
2002/3,4641466,4565820,75646
2003/4,4884371,4671344,213027
2004/5,4942553,4779710,162843
2005/6,4869440,4890993,-21553
2006/7,4815284,4995194,-179910
2007/8,5195211,5172844,23367
2008/9,5160406,5293316,-132910
