Year,Paddy,Paddy,Maize,Maize,Wheat,Wheat,Wheat flour,Wheat flour
 ----,Import,Export,Import,Export,Import,Export,Import,Export
1967/68,0,123987,0,0,0,0,0,0
1968/69,0,149322,0,0,0,0,0,0
1969/70,0,175707,0,5,0,0,0,0
1970/71,0,160778,0,12,0,0,0,0
1971/72,-,-,-,-,-,-,-,-
1972/73,-,-,-,-,-,-,-,-
1980/81,-,-,-,-,-,-,-,-
1981/82,0,36503*,0,15988*,0,0,0,0
1982/83,0,15988*,0,214*,0,0, ---,0
1983/84,0,214*,0,2043*,0,0,0,0
1984/85,0,2043*,0,7810*,0,0,0,0
1985/86,0,7810*,0,0,0,0,0,2620*
1986/87,0,0,0,0,0,0,0,354*
1987/88,0,0,0,0,0,0,0,51*
1988/89,0,0,0,796*,0,0,0,17*
1989/90,0,796*,0, ---,0,0,0,0
1990/91,-,-,-,-,-,-,-,-
1991/92,241100,100,0,-,196700,0,0,0
1992/93,331600,200,0,100,59300,0,0,0
1993/94,381600,-,0,-,4300,0,0,0
1994/95,418800,-,0,-,3700,0,0,0
1995/96,499200,-,0,-,4600,0,0,0
1996/97,379100,100,0,5800,4200,0,0,0
1997/98,168300,8000,0,4400,2500,0,0,0
1998/99,1884600,74100,0,100,10200,0,0,0
1999/2000,2777200,0,0,0,309500,0,0,0
2000/1,427100,0,0,0,-,0,0,0
2001/2,226400,0,0,0,3200,0,0,0
2002/3,744900,0,0,0,216500,0,0,0
2003/4,555500,0,0,0,270300,0,0,0
2004/5,437100,0,0,0,1600,0,0,0
2005/6,2309800,0,0,0,49400,0,0,0
2006/7,1614200,0,0,0,107100,0,0,0
2007/8,784500,0,0,0,-,0,0,0
