Food products,1980,1980,1990,1990,2008,2008
 ----,Production,Production kg/capita,Production,Production kg/capita,Production,Production kg/capita
Principal cereals (5 products),3512500,246.28,5763170,318.21,8091635,300.06
Pulses, ----,-,162275,8.96,262580,9.74
Potato,279500,19.6,704920,38.92,2239433,83.04
Vegetables,-,-,1127884,62.28,2646655,98.15
Fruit,-,-,377911,20.87,658388,24.41
Meat,-,-,146364,8.08,237795,8.82
Fish,-,-,8123.5,0.45,24037.5,0.89
Milk,-,-,8611799.5,47.58,1417075,52.55
Non-cereal total (7 products),-,-,3389277,505.35,15577598,577.66
Grand total (12 products),-,-,9152447,823.56,23669233,877.72
