No.,Sector,Nepali exports 2008(US$ 1000),Index 1: Export performance,Index 2: World market
conditions,Index 3: Domestic supply
conditions,Overall export potential,Socio-economic impact
Agro-Food,Large cardamom,21329,high,low,high,high,medium
Agro-Food,Ginger,8130,medium,low,medium,medium,medium
Agro-Food,Honey,500,low,medium,medium,medium,medium
Agro-Food,Lentils,22258,medium,high,high,high,medium
Agro-Food,Tea,16805,high,low,medium,medium,high
Agro-Food,Instant noodles,10390,high,medium,high,high,low
Agro-Food,Medicinal herbs/essentail oils,11000,low,medium,high,medium,high
Craft and Industrial Goods,Handmade paper,4000,low,low,high,low,high
Craft and Industrial Goods,Silver jewelry,9519,low,high,medium,medium,medium
Craft and Industrial Goods,Iron and steel products,149394,high,high,high,high,medium
Craft and Industrial Goods,Pashmina products,22074,medium,medium,high,medium,medium
Craft and Industrial Goods,Wool products,16450,medium,high,medium,medium,high
Services,Tourism,352000,high,high,high,high,high
Services,Labour services,2448000,high,high,medium,high,high
Services,IT & BPO services,10000,medium,medium,medium,medium,medium
Services,Health services,n/a,low,medium,low,low,low
Services,Education services,10000,medium,low,low,low,low
Services,Engineering services,n/a,low,medium,medium,medium,low
Services,Hydro-electricity,0,low,high,medium,medium,medium
Source: Export Potential Assessment (NTIS Chapter 2),,,,,,,
