Category,Items,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10
Agro-food,Ginger,India,Pakistan,Bangladesh,USA,Netherlands,UK,Malaysia,Germany,Yemen,Vietnam
Agro-food,Honey,UK,France,Japan,USA,Germany,Belgium,Poland,Australia,Saudi Arabia,Slovakia
Agro-food,Lentils,Turkey,UAE,Sri Lanka,Algeria,Iran,Egypt,Saudi Arabia,Spain,UK,Pakistan
Agro-food,Tea,Egypt,UAE,Russia,USA,UK,Iran,Pakistan,Germany,Kazakhstan,Australia
Agro-food,Instant Noodles,China,Indonesia,Japan,USA,Vietnam,South Korea,Philippines,Thailand,Russia,India
Agro-food,Medicinal herbs,USA,France,Germany,Vietnam,Singapore,Japan,Italy,Russia,Belgium,South Korea
Agro-food,Essential oils,Singapore,Switzerland,India,France,Germany,USA,UK,Japan,China,Mexico
Craft and Industrial Goods,Handmade Paper,Denmark,Canada,Netherlands,Saudi Arabia,Nigeria,India,Quatar,Egypt,Japan,Malta
Craft and Industrial Goods,Silver Jewelry,Hong Kong,USA,Germany,UK,France,Denmark,Australia,Spain,Netherlands,Canada
Craft and Industrial Goods,Iron/steel,Germany,Belgium,Poland,India,UAE,UK,Thailand,France,Italy,Sweden
Craft and Industrial Goods,Pashmina,UK,Germany,Spain,France,Hong Kong,USA,Italy,Japan,China,Switzerland
Craft and Industrial Goods,Wool Products,Germany,France,UK,Italy,Spain,Japan,Canada,Belgium,USA,Hong Kong
Services,Labour services (1-10),USA,Russia,Switzerland,Saudi Arabia,Spain,Germany,Italy,Luxemburg,Netherlands,Malaysia
Services,Labour services (11-20),China,UK,France,Oman,Japan,Norway,Kazakhstan,Kuwait,South Korea,Belgium
Services,Tourism,Germany,Saudi Arabia,USA,UK,France,Iran,China,Russia,Italy,Ukraine
Services,Education,China,India,South Korea,Uzbekistan,Germany,Bolivia,Vietnam,Nepal,Lao PDR,Belarus
Services,Engineering,UAE,China,India,Brazil,Quatar,USA,Nigeria,UK,Turkey,Saudi Arabia
Source: Export Potential Assessment ,,,,,,,,,,,
