Priority Export Potential Sectors, --,HS codes
Agro-based products,Cardamom,90830
 --,Ginger,91010
 --,Tea,902
 --,Medicinal and Aromatic Plants,1211
Craft and manufacturing products,"All Fabrics, Textile, Yarn and Rope","5509, 5407, 6305"
 --,Leather,"4104, 4106"
 --,Footwear,6404
 --,Pashmina,6214
 --,Carpets,5701
Services,Skilled and Semi-Skilled Professionals at Various Categories (Remittance Generating Services),  --
 --,IT and BPO and IT Engineering,  ---
 --,"Tourism (including leisure, business, education, and medical)", ---
